"English","Deutsch";
",MISSING_TRANSLATION;",", Fehlende_translation; ";
"7. Commuinications","7. Kommuinationen.";
"Basic Shelter","Grundhilfe";
"Habitat System","Habitat-System.";
"Maintenance","Instandhaltung";
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1. Die Schaffung eines Tierheims ist im besten Interesse des Überlebens.

8-2. Beim Beenden des Pods wird eine aufblasbare Kuppel bereitgestellt, jedoch hat diese Art von Unterkunft einen kurzen Zeitverfall und bietet nur ein temporäres Heiligtum aus der harten Umgebung. Das Erstellen eines viel sturierierischen Schutzraums sollte sich oben auf der Prioritätsliste befinden.";
"*When Inflatable Dome is not available, create shelter from found materials.","* Wenn aufblasbare Kuppel nicht verfügbar ist, schaffen Sie Schutz von gefundenen Materialien.";
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3. Lebensräume basieren auf einem modularen Bausystem. Sobald ein Lebensraum erstellt wird, ermöglicht das Hinzufügen einer Luftschleuse die Druckbeaufschlagung der Struktur. Kundenspezifische Wände machen Lebensräume umfangsamer und personalisierter. Mit dem Einbau von Fluren ist miteinander verbundene Lebensräume möglich. Die Gebäude-Multilevel-Strukturen sind ebenfalls möglich, erfordern jedoch die Zugabe eines Aufzugs.
";
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","* Modulares HAB-Systemgebäude ist die Grundlage aller Asiris Mission Colony-Siedlungen.";
"*Airlock is needed for pressurized HABs.","* Die Luftschleuse wird für unter Druckbezogene Habs benötigt.";
"*Hallways join HABs and other structures.","* Flure beitreten Habs und andere Strukturen.";
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","* Fügen Sie Mutliple Level hinzu, indem Sie Habs mit der Obergeschichte-Anlage stapeln.";
"*Barracks can contain special furniture equipment.","* Kasernen können spezielle Möbelgeräte enthalten.";
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4. Dienstprogramme sind funktionale Elemente, die Luft, Strom und andere Wesentliche erstellen. Einige dieser Elemente umfassen: Speichereinheiten, Hersteller, Schmiede, Kunsthandwerkstabellen. Um bestimmte Dienstprogramme herzustellen oder aufzubauen, müssen Materialien erhalten werden, und die erforderlichen Fähigkeiten müssen freigeschaltet werden. Bestimmte Gegenstände können auch im Spiel gefunden werden, indem er untersucht, wie Batterien, Drähte, schwere Maschinengewebe, wie z. B. reguläre Bandagen und Medkakte, mit einem 3D-Drucker oder einem Hersteller gefertigt werden können.

8-5. Die Fähigkeit, Wasser in einem leeren Glasgefäß herzustellen, ist bei der Ansammlung von Sauerstoff & Wasserstoff möglich. Eine in einem Lebensraum gebaute Wasseraufnahmeinheit ermöglicht auch alle wenigen Minuten den Durst. ";
",MISSING_TRANSLATION;",", Fehlende_translation; ";
"*Storage containers are essential to keeping large amounts of materials safe.","* Lagerbehälter sind unerlässlich, um große Mengen an Materialien sicher zu halten.";
"*Crafting Utilities such as the 3D Printer can create small useful items.","* Das Basteln von Dienstprogrammen wie der 3D-Drucker können kleine nützliche Elemente erstellen.";
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","* Schmelzgeräte sind notwendig, um Mineralien für Strukturgebäude und Gegenstände zu schmilzen.";
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6. Strukturen sind die konstituierenden Elemente der Kolonie. Die verschiedenen Komponenten, die auf im Wesentlichen ein Raster aufgebaut sind, können die verschiedenen Komponenten zusammengeschnappt werden, um große Koloniekomplexe für das Wachstum von Nahrungsmitteln, Forschung und das gegenseitige Überleben zu erzeugen. Das aktuelle Maximum für Strukturen auf einem einzigen Planeten beträgt 200 oder 20 pro Spieler. Neben Lebensräumen und Hütten gibt es viele andere Strukturen, die wie ein Biodome, Labor, Möbel, individuelle Wandstücke und Dienstprogramme erbaut werden können.
";
"*Biodome are perfect for cultivating food reserves.","* Biodome eignen sich ideal zum Kultivieren von Lebensmittelreserven.";
"*Specialty furniture equipment in the HAB can be extremely useful.","* Spezialmöbelausstattung in der HAB können äußerst nützlich sein.";
"*Solar panels must be used to power structures and utilities.","* Solarplatten müssen verwendet werden, um Strukturen und Dienstprogramme auszuschalten.";
"*Create unique structures with custom prefabs.","* Erstellen Sie einzigartige Strukturen mit benutzerdefinierten Präfabs.";
"*Laboratory is a factory system that can build vehicles and robots.","* Labor ist ein Fabriksystem, das Fahrzeuge und Roboter bauen kann.";
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7. Um Strukturen, Fahrzeuge und andere wichtige Elemente in der richtigen Arbeitsordnung zu halten, ist eine regelmäßige Wartung erforderlich. Die Wartung kann mit dem Multi-Tool durchgeführt werden. Dies ist ein unzerstörbares Werkzeug, das zur Reparatur von beschädigten Strukturen, Wändenfahrzeugen und Droiden verwendet wird.
";
"*OMPA can be programmed to auto repair your colony structures.","* Ompa kann programmiert werden, um Ihre Kolonienstrukturen automatisch zu reparieren.";
"*Repair your structures and equipment with the Multi-Tool.","* Reparieren Sie Ihre Strukturen und Ausrüstung mit dem Multi-Tool.";
"Driver Training","Treibertraining";
"Planning for Space","Platzplanung";
"Space Travel","Raumfahrt";
"Space Walking","Platz zu Fuß";
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1. Fahrzeuge ermöglichen einen schnellen Transport über große Entfernungen, bewegte Ressourcen und mehr. Es gibt zwei verschiedene Arten von Fahrzeugen <Semikolon> Schweben und Rädern. Die Haltbarkeit, Geschwindigkeit und Manövrierfähigkeit variiert je nach Fahrzeugtyp. Sie können mit dem Labor gebaut werden. Jede Fahrzeugtyp erfordern unterschiedliche Ressourcen, um zu handhaben.

9-2. Standardfahrzeugsteuerung:
Geben Sie den Fahrzeug ein - F-Taste.
Richtungsmanöver - WASD-Tasten.
Beenden Sie das Fahrzeug - F-Taste.

9-3. Bitte beachten Sie:
- Halten Sie in bestimmten Fahrzeugen die Umschalttaste gedrückt, um einen Boost zu aktivieren, der eine große Kraftstoffmenge verwendet, um zusätzliche Geschwindigkeit zu erhalten.

- Wenn in der Ansicht der dritten Person, ist es möglich, nach links oder rechts in der Fahrt auszusehen.

- Das Masse-Angriffsfahrzeug hat die Kapazität für einen zusätzlichen Passagier, der den Turm kontrollieren kann.
";
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3. Vor dem Reisen bereiten Sie sich entsprechend vor. Stellen Sie sicher, dass das für den Betrieb verwendete Fahrzeug angemessen angeheizt ist und in gutem Zustand ist. Überprüfen Sie das Wasser und die Lebensmittelversorgung, um sicherzustellen, dass es genug ist, um die Heimfahrt zu erfordern. Bringen Sie nötige Ressourcen und Vorräte mit, die möglicherweise von der Basis entfernt werden können.
";
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4. Raumschiffe haben ein translatorisches Leben, das beim Verlassen der Atmosphäre einen großen Kraftstoff benötigen. Sich entsprechend vorbereiten. Einmal in der Umlaufbahn, fehlt der Schwerkraft und der Reibung einen geringeren Kraftstoffverbrauch. Die folgenden Steuerelemente werden zum Betrieb des Raumschiffs verwendet:

9-5. Standard-Oberflächensteuerung beim Fliegen:
Starten Sie das Schiff und beschleunigen Sie - LMB
Land und Dezentrat - RMB
Richtungsmanöver - WASD-Tasten von wo immer der Maus derzeit gezeigt ist.
";
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7. Das e.v.a. Anzug wurde entwickelt, um längere Spaziergänge zu ermöglichen. Das Personal kann sich in einer Prämie befinden, in der sie ihre Raumstation oder das Schiff verlassen müssen, und beginnen Sie mit dem Platz zu Fuß. Die Standardkontrollen für das Spaziergang laufen wie folgt:

Bewegen Sie den Vorwärts- w-Taste
Bewegen Sie sich rückwärts - s Schlüssel
Strafe links - ein Schlüssel
Strafe rechts - d Schlüssel
Verschieben Sie nach oben - Leerzeichentaste
Bewegen Sie sich nach unten - linke Steuertaste
Orient zur Kamera - rechte Maustaste
Boost - Links-Umschalttaste
";
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8. Fahrzeuge erfordern Reparaturen und regelmäßige Wartung. Das Multi-Tool kann verwendet werden, um Fahrzeuge zu reparieren. Stellen Sie sicher, dass Sie jedes Fahrzeug konsequent tanken. Das Tanken erfolgt, indem der Behälter verwendet wird, der Kraftstoff enthält. Wenn Sie dazu aufgefordert werden, drücken Sie die Taste [F].
";
"9. Vehicle Piloting and Aeronotics","9. Fahrzeugsteuerung und Luftonotik";
"Steering Behaviors","Lenkverhalten";
"Mining","Bergbau";
"Repairing","Reparatur";
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1. Der persönliche Assistent der Osiris Mission (O.M.P.A.) wurde entwickelt, um das Außendienst mit ihren aktiven Pflichten auf Alien-Planeten zu unterstützen. Jedes o.m.p.a. wurde mit einem Satz von aktualisierbaren Algorithmen installiert, die Navigation, Reparatur, Bergbau und Selbstverteidigung enthalten.

10-2. Folgen: Die Aktivierung des Folgenverfahrens greift an den O.M.P.A. Einheit zum Trail-Personal. Dies hält das Gerät in der Nähe, um bei Bedarf Unterstützung beizutragen.

10-3. Flanke: Aktivieren des Flankenverfahrens greift in den O.M.P.A. Einheit zum Blei. Dieser Manöver ist ideal für das Bewachen von Mitarbeitern aus angebotenen Angriffen. Der o.m.p.a. ist auch mit High-Tech-Sensoren ausgestattet, die die Gefahr schnell erkennen und die Bedrohung in Eingriff bringen, bevor sie in der Nähe kommt.

10-4. (Passiv): Wenn die erforderlichen Upgrades installiert wurden, ist das o.m.p.a. Die Einheit führt automatisch feindselige Bedrohungen an, um das menschliche Personal vor Verletzungen zu schützen und strukturelle Schäden zu verhindern.

10-5. Reparatur: Aktivieren des Reparaturverfahrens greift an den O.M.P.A. Einheit, um einen bestimmten Bereich zu patrouillieren und alle Besitzstrukturen zu reparieren, die jeden Schaden angelaufen sind.

10-6. MINE: Aktivieren des Minenverfahrens greift an den O.M.P.A. Einheit, um einen bestimmten Bereich zu patrouillieren und jegliche wertvolle Ressourcen zu patrouillieren. Wenn die erforderlichen Upgrades installiert wurden, kann das Gerät auch in der Nähe der in der Nähe der in der Nähe der installierten Lagereinheiten erkennen und die gesammelten Materialien entladen.

10-7. Beschwörung (experimentell): Jedes o.m.p.a. wurde mit einem neu entdeckten Mineral ausgestattet, das festgestellt wurde, dass er manipulierbare Quanteneigenschaften enthält. Das Material wurde genutzt, damit das Gerät teleportiert, wenn das Beschwörungsvorgang aktiviert ist. Die Verwendung dieser Funktion wird auf Kosten geliefert, um die notwendige Energie bereitzustellen, um die Reaktion zu aktivieren, eine große Menge an Strom aus der Batteriestromquelle entwässert.";
"10-8. The O.M.P.A. has been programmed for mining valuable resources scattered across the various terrains of the GLiese 581 System. Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area, mine, and if upgraded with the necessary components, detect nearby storage units and unload the collected resources.
","10-8. Der o.m.p.a. wurde programmiert, um wertvolle Ressourcen auf den verschiedenen Gelände des GLIESE 581-Systems verstreut zu werden. Die Aktivierung des Minenverfahrens greift an der O.M.P.A. Einheit, um einen bestimmten Bereich zu patrouillieren, meine, und wenn es mit den erforderlichen Komponenten aufgerüstet ist, erkennen Sie die in der Nähe der in der Nähe der erforderlichen Komponenten und entladen Sie die gesammelten Ressourcen.
";
"10-9. The O.M.P.A. has been programmed to provide assistance to injured personnel and repair structural damage while patrolling is assigned coordinates. 
","10-9. Der o.m.p.a. Es wurde programmiert, um verletzte Personal und Reparaturstrukturschäden bei der Patroualisierung zu unterstützen, während die Patrouiern-Koordinaten zugewiesen wird.
";
"10-10. The O.M.P.A. has been programmed to target and engage in combat if equipped with the necessary upgrades. Once achieved the O.M.P.A. will be armed and ready to protect and automatically engage hostile threats.
","10-10. Der o.m.p.a. wurde so programmiert, dass sie mit den erforderlichen Upgrades mit den erforderlichen Upgrades ausgerüstet sind. Einmal erreichte die o.m.p.a. wird bewaffnet und bereit, feindselige Bedrohungen zu schützen und automatisch zu tätigen.
";
"10-11. The O.M.P.A. unit requires periodical repair and battery maintenance. When engaging in combat the O.M.P.A. can sustain damage that requires repair. If this occurs, personnel must equip the repair tool and use it on the O.M.P.A. to return it to a working condition. If the O.M.P.A. suffers from battery depletion, it will remain in the same location it lost power. To fix, simply equip a new battery and install in into the O.M.P.A.
","10-11. Der o.m.p.a. Einheit erfordert periodische Reparatur- und Batteriewartung. Beim Bekämpfen des O.M.P.A. kann Schaden aufrechterhalten, der Reparatur erfordert. In diesem Fall muss das Personal das Reparaturwerkzeug ausstatten und auf dem O.M.P.A verwenden. um es in einen Arbeitszustand zurückzugeben. Wenn der o.m.p.a. Leidet an der Batterieverschmeide, es bleibt an derselben Stelle, in der er die Macht verlor. Um zu beheben, rüste einfach einen neuen Akku aus und installieren Sie in das O.M.P.A.
";
"10. Osiris Mission Personal Assistant Manual","10. Osiris Mission Personal Assistant Manual";
"Alien Plant","Alien-Pflanze";
"Blunt Object","Stumpfen Gegenstand";
"Slashing Tool","Werkzeug zum Schneiden";
"Sharp Weapon","Scharfe Waffe";
"Surgical Tool","Chirurgisches Werkzeug";
"Extracting Tool","Werkzeug extrahieren.";
"Discoveries","Entdeckungen";
"[A] MISSIONS","[A] Missionen";
"SKILLS [D]","Fähigkeiten [D]";
"[A] DISCOVERIES","[A] Entdeckungen";
"INVENTORY [D]","Inventar [D]";
"Bug Report / Feedback","Fehlerbericht / Feedback";
"Menu","Speisekarte";
"Settings","Einstellungen";
"Force Kill","Kill Kill";
"Report Player","Melde Spieler";
"Main Menu","Hauptmenü";
"Exit Game","Spiel verlassen";
"Players","Spieler";
"Player Name...","Spielername...";
"Avatar Name...","Name des Avatars...";
"Cheating","Betrug";
"Additional Comments...","Zusätzliche Kommentare...";
"Submit","einreichen";
"Menu Options","Menüpunkte";
"[A] SKILLS","[A] Fähigkeiten";
"Feedback","Feedback";
"Enter feedback here (optional)","Geben Sie hier ein Feedback ein (optional)";
"General Feedback","Allgemeine Rückmeldung";
"Gameplay / Balancing","Gameplay / Balancing.";
"Bug / Tech Issue / Frame Rate","Fehler / Tech-Ausgabe / Bildrate";
"Feature Request","Featureanfrage";
"Include Screenshot","Schließen Sie den Screenshot an";
"All is good, just giving feedback","Alles ist gut, nur Feedback geben";
"This is kind of serious","Das ist irgendwie ernst";
"This is stopping gameplay","Das wird das Gameplay anhalten";
"Missions | Logs | Blueprints","Missionen | Protokolle | Blaupausen";
"Mission 1 - Explore Proteus 2","Mission 1 - Explore Proteus 2";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Nun, da ich auf diesem Planeten Fuß fesselte, sollte ich erkunden und sehen, ob ich mit dem Phoenix-Team umgruppieren kann. ([F3] öffnet das GPS, Ihr Anzug hat ein Radar installiert, das den grundlegenden Scannen ermöglicht. [Num +] und [Num -], um den Zoom der Karte zu ändern.)";
"Mission 2 - N/A","Mission 2 - N / A";
"Activate new mission in Mission Menu","Aktivieren Sie neue Mission im Missionsmenü";
"Mission 3 - N/A","Mission 3 - N / A";
"Encrypted Disks","Verschlüsselte Festplatten.";
"Item Name","Artikelname";
"Decrypt","Entschlüsselt.";
"Are you sure you want to quit to main menu?","Sind Sie sicher, dass Sie zum Hauptmenü zurückkehren möchten?";
"Placeholder","Platzhalter";
"O.M.P.A. Overview","O.M.P.A. Überblick";
"dev console commands","Dev Console-Befehle";
"Push-to-Talk Initializing...","Push-to-Talin Initialisierung ...";
"[F1] Push-To-Talk","[F1] Push-to-Talk";
"Talk now","Jetzt sprechen";
"World Channel","Weltkanal";
"Chat Commands","Chat-Befehle";
"[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous whisper","[Registerkarte] Verfügbare Kanäle umschalten
[/g] Allgemeiner Kanal
[/l] Lokaler Kanal
[/c] Kolonie Kanal
[/p] Gruppen Kanal
[/W] Flüster Kanal
[/R] Antwort auf Flüstern";
"Equip Locator To Cycle Targets","Locator ausrüsten, um Ziele zu durchzuschalten";
"Nearest Dish
Scanning...
","Nächste Speise
Scannen ...
";
"Downloading Transmission","Übertragung herunterladen.";
"Performing System Dyagnostics_","System-Diagnosen werden durchgeführt_";
"Party Member 1","gruppenmitglied 1";
"Toggle Flashlight [L]","Taschenlampe Ein/Aus [L]";
"Slope:","Steigung:";
"SUIT","ANZUG";
"ENV","ENV.";
"Incline","Neigung";
"Noise","Lärm";
"EARLY ACCESS","EARLY ACCESS";
"This new ability unlocks your wildest dreams!","Diese neue Fähigkeit entsperrt Ihre wildesten Träume!";
"Status","Status";
"New Ability","Neue Fähigkeiten";
"Username","Nutzername";
"Exit","Beenden";
"Options","Optionen";
"News","Neuigkeiten";
"Multiplayer","Multiplayer";
"Single Player","Einzelspieler";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Vollständigen Sie Ihre eigene Raumstation in niedriger Umlaufbahn. Alle Stationsmodule können in beliebiger Kombination miteinander verbunden werden, sodass die vollständige Flexibilität in Design und Layout ermöglicht wird.

Jedes Modul hat seinen eigenen Zweck und seinen eigenen Merkmalen, einschließlich Handwerks-, Stromsystemen und Lagerung.

Weltraumstationen sind frei von Erosion und Gefahren der bestehenden Planetside in einer Atmosphäre, wodurch eine interessante strategische Option zum Speichern wertvoller Ressourcen erstellt werden.
";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 nutzt die neue Technologie, die wir entwickelt haben, die verschiedene Zonen und Gebiete in eine Welt hinzufügen.

Wir haben die Menge der Weltstruktur verdoppelt, Millionen von Grasklingen gerendert und unzählige neue Alien-Folwies bevölkert - jeweils verschiedene Ressourcen.
";
"Discovery System
","Entdeckungssystem
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Alles, was Sie auf Ihren Abenteuern beobachten, können jetzt entdeckt werden. Viel mehr als eine einfache Leistung, das Entdeckungssystem entsperrt tatsächlich alle verschiedenen Ressourcen, die auf der gefundenen Ressource ergibt.

Im Wesentlichen kann jede Waffe oder ein Werkzeug, das auf einer Ressource verwendet wird, einen anderen Artikel ergeben, wodurch die weltweit wissenschaftlichere Erkundung des Sonnensystems und aller seiner Lebensformen ermöglicht wird.
";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Mineralien können jetzt auf Ihrem aktualisierten GPS gefiltert werden. Dieses sehr praktische Tool, das jetzt immer in Ihrem HUD verfügbar ist und nicht mehr an Ihrem Locator angehängt ist, liest sich von Ihren umliegenden Satelliten und Ihrem eigenen internen Anzugradar, um Erkennungsradien zu erstellen.

Dieses System zeigt Ihnen alle umgebenden Mineralien, deren Härte und Dichte, sodass Sie finden, wonach Sie in Ihren Handwerksmissionen suchen.
";
"Removal of Build Gates
","Entfernung von Build Gates
";
"Options","Optionen";
"News","Nachrichten";
"Multiplayer","Multiplayer";
"Single Player","Einzelspieler";
"Exit","Beende";
"New Ability","Neue Fähigkeiten";
"Status","Status";
"EARLY ACCESS","FRÜHER ZUGANG";
"This new ability unlocks your wildest dreams!","Diese neue Fähigkeit entsperrt Ihre wildesten Träume!";
"Glide Unit Mk. II","Gleiteinheit Mk. II";
"Weight: ","Gewicht:";
"Hover Duration: ","Schwebedauer:";
"Hover Height: ","Schwebehöhe:";
"Hover Fuel Usage: ","Hover Kraftstoffverbrauch:";
"Oxygen Consumption: ","Sauerstoffverbrauch:";
"Stamina Usage: ","Ausdauerverbrauch:";
"Quartz","Quarz";
"Class: ","Klasse:";
"Amount: ","Menge:";
"A hardened, white, and sometimes colorless mineral that consists of silicon dioxide.","Ein gehärtetes, weißes und manchmal farbloses Mineral, das aus Siliziumdioxid besteht.";
"Cobalt Bolt Rifle","Kobaltbolzengewehr";
"Bolt Rifle Magazine","Bolzengewehrmagazin.";
"Remaining Ammo: ","Restmunition:";
"Clip Size: ","Filmgröße:";
"Damage: ","Beschädigung:";
"10% critical hit","10% kritischer Treffer";
"Durability Consumption: ","Haltbarkeitsverbrauch:";
"Orcek Meat","Orcek Fleisch";
"Health Bonus: ","Gesundheitsbonus:";
"Nutrition Bonus: ","Ernährungsbonus:";
"Meat ripped right off the body of a Orcek. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper eines Orcek. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Gold","Gold";
"A soft, malleable, ductile metal primarily used in the production of electronic devices due to it's corrosion resistance and electrical conductivity.","Ein weiches, formbares, duktiles Metall, das hauptsächlich bei der Herstellung von elektronischen Geräten aufgrund seiner Korrosionsbeständigkeit und der elektrischen Leitfähigkeit verwendet wird.";
"Reactor Cell","Reaktorzelle";
"Total Weight: ","Gesamtgewicht:";
"Ammo charges for the Reactor Pistol. It is automatically used when reloading, if stored in your backpack.","Munitionsgebühren für die Reaktorpistole. Es wird beim Nachladen automatisch verwendet, wenn Sie in Ihrem Rucksack gespeichert sind.";
"Grunt","Grunzen";
"Strength Boosted: ","Stärke erhöht:";
"A strong compound created to give a boost to your carrying capacity.","Eine starke Verbindung, die erzeugt wurde, um Ihrer Tragfähigkeit ein Schub zu verleihen.";
"02 Pump Unit Mk. III","02 Pumpeneinheit Mk. III.";
"Oxygen Recharge: ","Sauerstoffaufladung:";
"Stamina Recharge: ","STAMINA LAPARGE:";
"DIA-72 Assault Rounds","Dia-72-Angriffsrunden";
"20% critical hit","20% kritischer Treffer";
"Advanced ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Fortschrittliches Munitionsmagazin für das Sturmgewehr. Es wird beim Nachladen automatisch verwendet, wenn er im Rucksack gespeichert ist.";
"Blood Sausage","Blutwurst";
"Quench Bonus: ","Quench-Bonus:";
"Fortitude Boosted: ","Stärkung steigert:";
"A delicious sausage created with congealed alien blood stuffed into an alien intestine. Eat while equipped or straight from inventory.","Eine köstliche Wurst, die mit knappem Alien-Blut erstellt wurde, das in einen Aliendarm gefüllt ist. Essen Sie während der Ausstattung oder direkt aus dem Inventar.";
"Nickel","Nickel";
"A metal commonly used in various alloys.","Ein Metall, das üblicherweise in verschiedenen Legierungen verwendet wird.";
"Branches","Geäst";
"Wood is often used to stoke fires.","Holz wird häufig verwendet, um Feuer zu stecken.";
"Crab Shell","Krabbenschale";
"Shell taken from a crab monster, often used to make defenses.","Muschel aus einem Krabbenmonster, der häufig zur Abwehrung verwendet wird.";
"Recovery Unit Mk. III","Wiederherstellungseinheit Mk. III.";
"Prevents Fall Damage","Verhindert Sturzschaden";
"Hover Fuel Recharge: ","Hover-Kraftstoffaufladung:";
"Gold Ingot","Goldbarren";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1064 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 1064 ° C
";
"Heat Cell","Wärmezelle";
"Ammo charges for the Heat Pistol. It is automatically used when reloading, if stored in your backpack.","Munitionsgebühren für die Wärmepistole. Es wird beim Nachladen automatisch verwendet, wenn Sie in Ihrem Rucksack gespeichert sind.";
"Flourine","Flourine";
"A poisonous gas that will cause severe burns, used in cable insulations and waterproof materials.","Ein giftiges Gas, das schwere Verbrennungen verursacht, verwendet in Kabelisolierungen und wasserdichten Materialien.";
"Phencyclidine","PhecyClidin.";
"Potent tranqualizing agent.","Starkes tranqualisierendes Mittel.";
"Fire Gem","Feuerwein";
"A strange gem that gives off immense heat, its physical properties unknown.","Ein seltsamer Juwel, der immense Wärme abgibt, seine körperlichen Eigenschaften unbekannt.";
"Alien Organ","Alien-Organ.";
